,full_text,sentiment,emotion
144,@NilsonJavierB @eliecer_e @CNE_COLOMBIA @moecolombia @DELAESPRIELLAE @AndresPastrana_ @PalomaValenciaL @RevistaSemana @CConstitucional @CorteSupremaJ @DefensoriaCol @USEmbassyBogota @felipesancheztv @consejodeestado Vega lo que debe es ir preso y anulación de esas elecciones.,negative,anger
326,"Amor por Colombia ni que nada, sólo por la familia acá porque del resto este país no se saca con amor ni patriotismo. Toca es irse para no ser un muerto más, empezó la época de elecciones y en la Costa ya iniciaron, me duele 💔",negative,
35,(Elecciones Colombia: ¿qué muestran las más recientes encuestas presidenciales?) publicado en https://t.co/XJ7xIbDAXM - https://t.co/kBmI6ABhaM https://t.co/Qp16PJZguR,neutral,fear
386,"@RobinsonBaena Mosca camarada, el uribismo aprovechando las acciones de estos delincuentes quieren desestabilizar Colombia porque se ven perdidos en las elecciones https://t.co/ZN08tBGBax",,
65,"@montanertwiter Te pido que ores con todo tu corazón por el bien de Colombia, para que no nos caigamos en desgracia en las próximas elecciones. Gracias 🙏🏼",positive,joy
150,¡TOMA NOTA! La violencia del conflicto armado en Colombia resurge antes de las elecciones https://t.co/fPOo1FeIyz,negative,anger
529,"Lo que me queda claro con este video es que los jurados de votación en las elecciones pasadas eran petristas.
 
 Para las proximas elecciones presidenciales el @CNE_COLOMBIA y la @Registraduria debe garantizarnos que los jurados todos no sean de la izquierda.
 
 #FicoUneAColombia https://t.co/jPUpwZzQCq",,
275,@lcvelez #ElRiesgoEs sin lugar a ninguna duda @Registraduria y el @CNE_COLOMBIA se van a robar las elecciones,negative,anger
316,"NARCOPARAURIBISMO GENOCIDA, GARRAPATEIRO (ZAPATEIRO),CANTINFLAS MOLANO Y CLAN DEL GOLFO, ESTÁN TRABAJANDO EN LLAVE 🔑 PARA METER MIEDO A COLOMBIA Y ROBARSE LAS ELECCIONES DEL 29 DE MAYO. https://t.co/SDbke4RmTk",negative,
107,"@Karlaarcila Un día un traidor infame, se robó un plebiscito, ilegalmente lo implementó, el congreso lo avaló cómplice del robo pues sus representados dijeron No, como pueblo dormido no protestamos de forma contundente, por eso hoy se quieren robar las Elecciones. Hay que salvar a Colombia. https://t.co/nwTpis2e8C",negative,anger
385,"@tinagus2000 Evidentemente la persecución judicial, la aceleración de cosas, las trabas del @cnegobec para la inscripción , el viaje de la fiscal a Colombia y el papel de otras instituciones influyeron en la victoria de Lasso. Al otro candidato lo desgastaron, mucha antes de las elecciones.",,
601,"@marthaperaltae @Diego_Molano ""...coalición más grande del Congreso y la más votada en la historia de Colombia..."", ¡el ROBO mas grande de la historia de Colombia! querrá decir. Nos robaron el plebiscito y no hicimos nada, ¿vamos a permitir que nos roben éstas elecciones?
 
 https://t.co/9vi3UmzfK2",,
489,"“Petro ha hecho oferta de indulto a nombre de los narcos. Tiene que aclarar ese negocio”. Incluso afirma que “el Caballo de Troya del narcotráfico en las elecciones en Colombia es Gustavo Petro y su jinete es Iván Cepeda”
 
 @AndresPastrana_ https://t.co/ypGm6I2Mxt",,
563,Esta inversión en pauta publicitaria que puede ser decisiva en el momento de las elecciones y que pueda variar resultados se hace bajo la mirada complice de @GoogleColombia que a nivel global tiene políticas publicitarias que extrañamente no se siguen en Colombia.,,
141,Bueno colombia entonces nos vamos a calar al registrador Alexander Vega en las elecciones presidenciales porque a él no le da la gana de renunciar ni los hijueputas poderes de control le piden la renuncia,negative,anger
55,".@odonnellmaria y @ertenembaum entrevistan a Francia Márquez, candidata a vicepresidenta en la fórmula de Gustavo Petro para las elecciones presidenciales de Colombia. La cita, este sábado a las 9 P.M. (Miami), 10 P.M. (Buenos Aires) en #Conecta2 https://t.co/oB0KwVMmkn",neutral,joy
339,"@Tipcol10 @ledamejia21 NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",,
46,"@FicoGutierrez @DANE_Colombia Usted que sabe de finanzas? Ya Uribe le escribió lo que tenia que decir, cállese más bien y no escriba pendejadas, el país está ardiendo por órdenes del matarife para boicotear las elecciones y Usted hablando estupideces de las cuales no tiene ni idea. Usted no está apto",negative,anger
415,"Alertan que miles de jurados de votación están inhabilitados para estar en las elecciones a Presidente https://t.co/U0B0pSdoT0
 
 via SQUID App https://t.co/HbtsGbArmc",,
431,"@nicolaspetroB @petrogustavo Los paramilirares si que son brutos ignorantes, ven como los ha traicionado el uribismo y siguen arranchados sin querer un cambio en Colombia! Esperemos que el día de las elecciones no amenazen a los colombianos! Maldito uribismo nos tiene jodidos!",,
596,"El Registrador Alexander Vega y el @CNE_COLOMBIA Insisten en meterle al pueblo colombiano el gol este 29 de mayo, están desesperados por entregarle el poder a la izquierda en Colombia. https://t.co/fPyKsxf40K",,
583,"Insisto...el peor enemigo de la llamada #Derecha en #Colombia es la misma ""Derecha""...
 
 Llegar DIVIDIDOS a las elecciones PRESIDENCIALES, No me parece la mejor táctica, para enfrentar al #PapilomaHumano 
 
 Según la posición de los Astros, podría ser Desastroso para el #29Mayo https://t.co/jv4cmhH9mv",,
433,COLOMBIA NO HABÍA VISTO NUNCA UN PAYASO IGUAL. https://t.co/vfogIcbmmR,,
89,"@MariaFdaCabal El @CNE_COLOMBIA es de izquierda ,por eso la democracia de colombia esta en peligro...no tocan al registrador vega y se la pasan sacando encuestas chimbas donde gana el kk...nada q hacer no hay garantías ,nos van a robar las elecciones para montar a petro.",negative,sadness
408,"Luis Pérez se caracteriza por tener un estilo de ropa colorida y a la medida. En este capítulo de #ElHilo le contamos qué comunica con las prendas que usa el candidato.
 
 https://t.co/BQkQzsF1Mu
 
 
 
 #Elecciones2022 #ColombiaDecide https://t.co/qSKzzQgQn2",,
290,"Les comparto publicación de mi artículo ""Elecciones Colombia 2022""en la Revista Argentina de Derecho Electoral. 
 
 https://t.co/Ntm0DuF9Pc https://t.co/6sB6OXjzaA",neutral,joy
486,Lo he analizado toda la mañana y verdaderamente la época de elecciones en Colombia es TERRORÍFICA.,,
613,"#presidente duque y congresistas q aprobaron tumbar ley garantías🇨🇴durante elecciones, deben renunciar Ya! @PGN_COL @FiscaliaCol @DefensoriaCol @CGR_Colombia ojo cuanto dinero se va perder erario público,se robaron para politiquería....justicia ya, q renuncien ya! https://t.co/O7Y6YrxYVI",negative,anger
392,"Es más que obvio que esa extradición de #Otoniel más que estrategia para silenciarlo, era la excusa para explotar este #ParoArmado y afectar así las elecciones, evitar que la gente se mueva a votar masivamente. #Colombia",,
